ITERATION,PRED,TRUE,PROB.CASE
19,1,0,0.9500640630722046
19,0,0,0.342858225107193
19,1,0,0.9206467270851135
19,1,0,0.7963857650756836
19,1,0,0.7769685387611389
19,0,1,0.029892900958657265
19,1,1,0.9394734501838684
19,0,1,0.3576306402683258
19,1,0,0.944716215133667
19,0,0,0.025047659873962402
20,1,0,0.8523294925689697
20,1,0,0.9819770455360413
20,0,0,0.18417511880397797
20,1,0,0.9882441163063049
20,1,1,0.9853851199150085
20,1,0,0.9779953360557556
20,1,0,0.9676204919815063
20,1,1,0.8643389940261841
20,1,1,0.9896469116210938
20,1,1,0.9891562461853027
20,1,0,0.9878706932067871
20,1,1,0.976009726524353
20,1,1,0.9873448014259338
20,0,1,0.3658074140548706
21,1,1,0.9797236323356628
21,0,0,0.015007365494966507
21,1,1,0.9767088890075684
21,0,1,0.016451995819807053
21,0,1,0.42015567421913147
21,0,0,0.4069325923919678
21,1,0,0.951906681060791
21,1,1,0.9455645680427551
21,0,0,0.13915260136127472
21,1,1,0.9735017418861389
21,0,0,0.1462736576795578
21,0,1,0.035163503140211105
21,0,0,0.01547230314463377
22,0,0,0.10974545776844025
22,0,0,0.04011615738272667
22,1,1,0.9078954458236694
22,0,1,0.026089314371347427
22,0,0,0.02459581010043621
22,1,0,0.926994800567627
22,0,1,0.16555723547935486
22,1,1,0.9292793273925781
22,1,0,0.8058105707168579
22,1,1,0.6034408211708069
22,0,1,0.11149631440639496
22,0,0,0.20241588354110718
22,0,1,0.030781645327806473
23,1,0,0.563651442527771
23,0,1,0.15488624572753906
23,0,0,0.02471899427473545
23,1,1,0.9473086595535278
23,0,1,0.28962457180023193
23,1,1,0.8703096508979797
23,1,1,0.7307153940200806
23,0,0,0.19695813953876495
23,1,0,0.7296666502952576
23,0,0,0.3660721778869629
23,0,0,0.027541272342205048
23,0,1,0.02622498758137226
23,0,1,0.46632224321365356
24,1,1,0.6920515298843384
24,0,1,0.21025291085243225
24,0,0,0.03306503966450691
24,0,0,0.04904700070619583
24,1,1,0.9505853652954102
24,1,0,0.8436859846115112
24,0,0,0.03342418000102043
24,0,0,0.04406248778104782
24,1,0,0.7632147669792175
24,1,1,0.9267436265945435
24,1,1,0.8431363105773926
24,1,0,0.9742317795753479
24,0,1,0.06278866529464722
25,1,1,0.9257764220237732
25,1,1,0.9028935432434082
25,0,0,0.1993061602115631
25,0,1,0.04644407331943512
25,0,0,0.10327424854040146
25,1,1,0.6535430550575256
25,1,0,0.6014885306358337
25,0,1,0.29963430762290955
25,0,0,0.08602433651685715
25,0,1,0.21855804324150085
25,1,0,0.6525343060493469
25,1,0,0.9680032134056091
25,0,0,0.044528666883707047
25,1,1,0.6667404174804688
26,0,0,0.340480238199234
26,0,1,0.04258602485060692
26,0,0,0.08161624521017075
26,0,0,0.040105581283569336
26,0,0,0.028801221400499344
26,1,1,0.9740765690803528
26,1,1,0.8933888077735901
26,0,1,0.1316206008195877
26,0,0,0.04988536238670349
26,1,1,0.964282214641571
26,1,0,0.9713717699050903
26,0,1,0.04505758732557297
26,0,1,0.09195976704359055
27,1,1,0.7929694056510925
27,0,0,0.3265533745288849
27,0,1,0.02131832391023636
27,0,1,0.057029593735933304
27,0,0,0.08061949908733368
